Asset,Strategy,Total Return,Annual Return,Vol,Sharpe,MDD,Calmar
688_CHIP,专业策略 (每日 ETF 2x),247.33%,54.06%,44.79%,1.16,-44.00%,1.23
688_CHIP,专业策略 (静态融资),242.10%,53.25%,44.78%,1.14,-44.32%,1.20
688_CHIP,散户策略 (非信仰型 ETF),289.79%,60.35%,52.78%,1.11,-36.13%,1.67
688_CHIP,散户策略 (信仰型 ETF),634.37%,99.79%,59.16%,1.65,-30.56%,3.27
QQQ,专业策略 (每日 ETF 2x),105.66%,27.29%,22.73%,1.11,-23.22%,1.18
QQQ,专业策略 (静态融资),101.35%,26.39%,22.67%,1.08,-23.30%,1.13
QQQ,散户策略 (非信仰型 ETF),98.11%,25.71%,17.20%,1.38,-23.98%,1.07
QQQ,散户策略 (信仰型 ETF),98.17%,25.72%,27.21%,0.87,-37.35%,0.69
SOXX,专业策略 (每日 ETF 2x),260.54%,53.60%,37.88%,1.36,-40.78%,1.31
SOXX,专业策略 (静态融资),257.46%,53.16%,37.87%,1.35,-40.82%,1.30
SOXX,散户策略 (非信仰型 ETF),124.38%,31.06%,38.78%,0.75,-47.36%,0.66
SOXX,散户策略 (信仰型 ETF),213.18%,46.53%,55.40%,0.80,-66.84%,0.70
MU,专业策略 (每日 ETF 2x),1470.59%,151.35%,60.69%,2.46,-56.30%,2.69
MU,专业策略 (静态融资),1452.66%,150.38%,60.66%,2.45,-56.34%,2.67
MU,散户策略 (非信仰型 ETF),722.27%,102.40%,62.14%,1.62,-66.08%,1.55
MU,散户策略 (信仰型 ETF),3430.60%,229.61%,93.27%,2.44,-71.66%,3.20
SanDisk,专业策略 (每日 ETF 2x),5321.76%,1643.76%,100.96%,16.26,-43.18%,38.07
SanDisk,专业策略 (静态融资),5283.53%,1634.95%,100.76%,16.21,-43.40%,37.68
SanDisk,散户策略 (非信仰型 ETF),2842.18%,1025.73%,120.15%,8.52,-50.36%,20.37
SanDisk,散户策略 (信仰型 ETF),17700.45%,3984.17%,151.49%,26.29,-53.04%,75.12
EWY,专业策略 (每日 ETF 2x),183.82%,41.78%,35.52%,1.12,-30.47%,1.37
EWY,专业策略 (静态融资),178.05%,40.81%,35.50%,1.09,-30.74%,1.33
EWY,散户策略 (非信仰型 ETF),92.05%,24.41%,34.79%,0.64,-46.98%,0.52
EWY,散户策略 (信仰型 ETF),385.44%,69.68%,47.96%,1.41,-36.42%,1.91
